Tên nhóm hàng,Tên NPP,KM GPS có hàng,Thời gian vận chuyển (giờ)
"RS Sugar, Sugarcane Drinking Water, Mineral water, Functional Sugar",CHI NHÁNH CÔNG TY TNHH DU LỊCH TTC - TTC HOTEL PREMIUM - PHAN THIẾT,170.3109868,5.966666666666667
"Natural Rock, RS Sugar, Brown Sugar, Organic Sugar, RE Sugar, Monorock, Functional Sugar, Sugarcane Drinking Water, Bar Sugar, Invert Syrup",LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HCM,26.40677476,3.1166666666666667
"Invert Syrup, Functional Sugar, Monorock",,38.38078616,3.0
"Functional Sugar, RE Sugar, Brown Sugar, Invert Syrup, Diet Sugar, Coconut Cooking Cream, Monorock, RS Sugar",CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI TOÀN ĐỨC,16.98505319,15.8
RE Sugar,CÔNG TY TNHH XNK DALU SURIMI,1095.849905,2217.35
RE Sugar,,90.22204447,724.0
RE Sugar,CÔNG TY TNHH MTV MASAN HG,2192.004463,351.3
RE Sugar,,136.8359694,724.0
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,481.5495615,734.5666666666667
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,315.0432801,731.7
RE Sugar,CÔNG TY TNHH MTV MASAN HG,202.7618916,731.0333333333333
RS Sugar,CÔNG TY CỔ PHẦN MONDELEZ KINH ĐÔ VIỆT NAM,640.1863531,2217.9
RE Sugar (IM),CÔNG TY CỔ PHẦN SỮA BA VÌ,196.270038,10.033333333333333
RE Sugar,CÔNG TY TNHH PERFETTI VAN MELLE( VIỆT NAM),109.6220128,734.6833333333333
RE Sugar,CÔNG TY CỔ PHẦN SỮA QUỐC TẾ LOF,124.4709424,2216.3
RS Sugar,CÔNG TY TNHH URC VIỆT NAM,52.4872013,730.35
RE Sugar,,6827.81802,491.2
RE Sugar,CHI NHÁNH CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM TẠI TỈNH BẮC NINH,0.0153449,1.0
RE Sugar,CHI NHÁNH CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM TẠI TỈNH BẮC NINH,0.0153449,1.0
RE Sugar,CHI NHÁNH CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM TẠI TỈNH BẮC NINH,1360.397191,4400.733333333334
RE Sugar,CHI NHÁNH CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM TẠI TỈNH BẮC NINH,2773.977157,4400.733333333334
RE Sugar,CHI NHÁNH CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM TẠI TỈNH BẮC NINH,32.50301537,-144.75
RE Sugar,CHI NHÁNH CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM TẠI TỈNH BẮC NINH,0.0153449,1.0
RE Sugar,CHI NHÁNH CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM TẠI TỈNH BẮC NINH,31.43275771,-128.93333333333334
RE Sugar,CHI NHÁNH CÔNG TY TNHH NƯỚC GIẢI KHÁT SUNTORY PEPSICO VIỆT NAM TẠI TỈNH BẮC NINH,0.0153449,1.0
RE Sugar,CÔNG TY TNHH HATCHANDO VINAFOODS,230.9880031,8.033333333333333
"RS Sugar, Monorock",CÔNG TY TNHH LOTUS HEALTHY FOOD,49.48279015,4.966666666666667
"RE Sugar, Monorock","CÔNG TY TNHH POU LI VIỆT NAM, CÔNG TY CP THỰC PHẨM DINH DƯỠNG NUTRINEST",97.59658116,7.25
RE Sugar,CÔNG TY CỔ PHẦN DƯỢC PHẨM AMPHARCO U.S.A,33.12932016,4.7
"RE Sugar, RS Sugar","CÔNG TY TNHH THỰC PHẨM TAYA VIỆT NAM, CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI XUẤT NHẬP KHẨU NGỌC LIÊN",167.2603687,13.116666666666667
"Brown Sugar, RS Sugar","CÔNG TY TNHH MTV LƯƠNG THỰC HOÀNG GIA AN, CÔNG TY TNHH SAN MIGUEL PURE FOODS (VN)",7.074455489,7.483333333333333
RE Sugar,CÔNG TY TNHH NESTLÉ VIỆT NAM,120.8022546,721.2166666666667
RE Sugar,CÔNG TY TNHH ĐẦU TƯ VÀ DỊCH VỤ THƯƠNG MẠI 168,76.37866147,8.816666666666666
"Brown Sugar, Invert Syrup, Juice, Coconut Cooking Cream, Functional Sugar, RS Sugar, Monorock, Caramelized, Diet Sugar, Bar Sugar","CÔNG TY TNHH MINH TUYẾT NHA TRANG, CÔNG TY TNHH THƯƠNG MẠI MINH DƯỢC, CÔNG TY TNHH ANH HÀO PHAN THIẾT",59.57706222,5.433333333333334
RS Sugar,CÔNG TY TNHH NÔNG SẢN THỰC PHẨM BỐN MÙA,278.5543907,720.5833333333334
RE Sugar,,429.4024159,1497.55
"Monorock, RE Sugar, RS Sugar","CÔNG TY CỔ PHẦN THỰC PHẨM GN, CÔNG TY CỔ PHẦN THỰC PHẨM CÁT HẢI, CHI NHÁNH CÔNG TY TNHH JOLLIBEE VIỆT NAM TẠI CẦN GIUỘC",1089.761979,-304.3833333333333
Juice,,1.758245999,8.133333333333333
"RE Sugar, Brown Sugar, Coconut Cooking Cream, Functional Sugar, Organic Sugar, RS Sugar, Juice","CHI NHÁNH BÌNH DƯƠNG - CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE, CÔNG TY CỔ PHẦN APIS",54.15753186,9.116666666666667
RE Sugar,HỘ KINH DOANH NHƯ LAN,66.42877517,9.066666666666666
